employee_id,name,age,gender,department,salary,years_of_experience,performance_score,hire_date
1,Employee 1,60,Male,HR,32869,21,46,2000-01-01 00:00:00.000000000
2,Employee 2,50,Male,Sales,91135,24,2,2000-03-25 20:36:21.818181818
3,Employee 3,36,Female,HR,80108,21,35,2000-06-18 17:12:43.636363636
4,Employee 4,64,Female,Engineering,68467,21,87,2000-09-11 13:49:05.454545456
5,Employee 5,29,Female,Finance,53328,5,81,2000-12-05 10:25:27.272727272
6,Employee 6,42,Male,Marketing,116831,14,90,2001-02-28 07:01:49.090909088
7,Employee 7,60,Female,Engineering,33987,36,8,2001-05-24 03:38:10.909090912
8,Employee 8,40,Male,HR,88871,32,93,2001-08-17 00:14:32.727272728
9,Employee 9,44,Male,Marketing,52399,7,26,2001-11-09 20:50:54.545454544
10,Employee 10,32,Female,HR,76214,4,74,2002-02-02 17:27:16.363636360
11,Employee 11,32,Female,HR,116416,38,90,2002-04-28 14:03:38.181818176
12,Employee 12,45,Male,Finance,100271,3,34,2002-07-22 10:40:00.000000000
13,Employee 13,57,Male,Marketing,74064,5,7,2002-10-15 07:16:21.818181824
14,Employee 14,61,Female,Marketing,100091,31,68,2003-01-08 03:52:43.636363632
15,Employee 15,45,Female,Finance,70818,29,58,2003-04-03 00:29:05.454545456
16,Employee 16,24,Female,Engineering,75525,34,75,2003-06-26 21:05:27.272727264
17,Employee 17,43,Male,HR,49830,39,29,2003-09-19 17:41:49.090909088
18,Employee 18,23,Male,Sales,47429,15,36,2003-12-13 14:18:10.909090912
19,Employee 19,45,Male,HR,36893,12,89,2004-03-07 10:54:32.727272720
20,Employee 20,51,Male,HR,109909,29,21,2004-05-31 07:30:54.545454544
21,Employee 21,59,Male,Engineering,77333,18,36,2004-08-24 04:07:16.363636352
22,Employee 22,23,Male,HR,33436,16,10,2004-11-17 00:43:38.181818176
23,Employee 23,42,Female,Finance,104290,18,73,2005-02-09 21:20:00.000000000
24,Employee 24,54,Male,Finance,106213,27,24,2005-05-05 17:56:21.818181824
25,Employee 25,33,Male,Marketing,35895,25,64,2005-07-29 14:32:43.636363648
26,Employee 26,43,Male,Sales,49738,36,99,2005-10-22 11:09:05.454545440
27,Employee 27,46,Female,HR,60746,25,49,2006-01-15 07:45:27.272727264
28,Employee 28,48,Male,HR,79377,22,99,2006-04-10 04:21:49.090909088
29,Employee 29,63,Male,Engineering,78404,8,36,2006-07-04 00:58:10.909090912
30,Employee 30,49,Female,Finance,84045,11,82,2006-09-26 21:34:32.727272736
31,Employee 31,37,Male,Sales,69790,0,96,2006-12-20 18:10:54.545454528
32,Employee 32,36,Male,Marketing,35600,0,24,2007-03-15 14:47:16.363636352
33,Employee 33,24,Male,Finance,70764,33,23,2007-06-08 11:23:38.181818176
34,Employee 34,58,Male,Marketing,104543,31,62,2007-09-01 08:00:00.000000000
35,Employee 35,28,Male,Engineering,75714,24,96,2007-11-25 04:36:21.818181824
36,Employee 36,42,Female,Engineering,86835,39,37,2008-02-18 01:12:43.636363616
37,Employee 37,30,Female,HR,103744,0,12,2008-05-12 21:49:05.454545440
38,Employee 38,60,Female,Sales,86491,15,55,2008-08-05 18:25:27.272727264
39,Employee 39,39,Male,Marketing,48589,38,13,2008-10-29 15:01:49.090909088
40,Employee 40,25,Male,Finance,73484,4,23,2009-01-22 11:38:10.909090912
41,Employee 41,46,Male,Engineering,112989,21,89,2009-04-17 08:14:32.727272704
42,Employee 42,35,Female,HR,66212,28,99,2009-07-11 04:50:54.545454528
43,Employee 43,30,Male,HR,73525,2,30,2009-10-04 01:27:16.363636352
44,Employee 44,47,Male,Marketing,77202,11,17,2009-12-27 22:03:38.181818176
45,Employee 45,23,Female,Engineering,62635,25,62,2010-03-22 18:40:00.000000000
